feature,importance
delta_q_var_100_10,0.3655003936794029
delta_q_min_100_10,0.298338085639892
delta_q_mean_100_10,0.1772232768898367
ir_cycle_2,0.03324831214928376
capacity_fade_2_to_100,0.02426874990633125
capacity_retention_100,0.024159925095618377
ir_change_2_to_100,0.01327406035658502
q_discharge_cycle_100,0.013192046568467106
q_discharge_cycle_2,0.01272775357887705
charge_time_cycle_2,0.008797929159097922
tavg_cycle_100,0.008762451193191191
delta_q_max_100_10,0.008658724047474671
ir_cycle_100,0.007244970872618039
tmax_cycle_100,0.004603320863324045
