feature,coefficient,abs_coefficient
tavg_cycle_100,210.96874682473336,210.96874682473336
delta_q_min_100_10,201.4329548916731,201.4329548916731
tmax_cycle_100,-182.4983297411826,182.4983297411826
delta_q_var_100_10,163.07334737363334,163.07334737363334
delta_q_mean_100_10,133.03808631953999,133.03808631953999
charge_time_cycle_2,77.69896972773566,77.69896972773566
capacity_retention_100,-45.93005680563295,45.93005680563295
q_discharge_cycle_2,39.04208782353028,39.04208782353028
q_discharge_cycle_100,34.50666377752031,34.50666377752031
delta_q_max_100_10,20.887112087944278,20.887112087944278
ir_cycle_100,-18.06139834450975,18.06139834450975
ir_change_2_to_100,-14.87744852460175,14.87744852460175
ir_cycle_2,-13.943505436589732,13.943505436589732
capacity_fade_2_to_100,-12.746089589462771,12.746089589462771
